grid,fm,key,algorithm,optimizer,lr,seed,checkpoint_dtype,acc_json,acc_archived,acc_checkpoint,n_diff_vs_archived,n_diff_vs_json,shift_vs_archived_pp,shift_vs_json_pp
sgd,UNI_v2,c6c46da1a506,FedAvg,sgd,0.03,2,torch.float16,0.9056143205858421,0.9056143205858421,0.9056143205858421,0,0,0.0,0.0
sgd,UNI_v2,c7eaabd9a392,FedAvg,sgd,0.01,0,torch.float16,0.9104963384865744,0.9104963384865744,0.9104963384865744,0,0,0.0,0.0
sgd,UNI_v2,d060e2f2bdd8,SCAFFOLD,sgd,0.01,2,torch.float16,0.8950366151342555,0.8950366151342555,0.8950366151342555,0,0,0.0,0.0
sgd,UNI_v2,d258611c439e,FedAvg,sgd,0.003,4,torch.float16,0.870626525630594,0.870626525630594,0.870626525630594,0,0,0.0,0.0
sgd,UNI_v2,dcb4bce65812,SCAFFOLD,sgd,0.01,1,torch.float16,0.9202603742880391,0.9202603742880391,0.9202603742880391,0,0,0.0,0.0
sgd,UNI_v2,e8a8466ef09e,FedAvg,sgd,0.1,3,torch.float16,0.7404393816110659,0.7404393816110659,0.7404393816110659,0,0,0.0,0.0
sgd,UNI_v2,f663566a1969,SCAFFOLD,sgd,0.1,3,torch.float16,0.5630593978844589,0.563873067534581,0.5630593978844589,3,0,-0.08136696501220841,0.0
sgd,UNI_v2,fcf5ca752a8f,SCAFFOLD,sgd,0.003,2,torch.float16,0.6078112286411717,0.6061838893409276,0.6078112286411717,4,0,0.16273393002440573,0.0
sgd,UNI_v2,fe2bfd04e808,FedAvg,sgd,0.03,4,torch.float16,0.9536208299430431,0.9536208299430431,0.9536208299430431,0,0,0.0,0.0
central,UNI_v2,08afa817575b,central-tuned,adam,0.0003,3,torch.float16,0.9698942229454841,0.9698942229454841,0.9698942229454841,0,0,0.0,0.0
central,UNI_v2,0a5d97a8d36a,central-tuned,sgd,0.1,2,torch.float16,0.43368592351505286,0.43612693246541906,0.43368592351505286,4,1,-0.2441008950366197,0.0
central,UNI_v2,0a8bbde47076,central-tuned,sgd,0.003,4,torch.float16,0.96826688364524,0.96826688364524,0.96826688364524,0,0,0.0,0.0
central,UNI_v2,0e884203d932,central-tuned,sgd,0.003,3,torch.float16,0.967453213995118,0.967453213995118,0.967453213995118,0,0,0.0,0.0
central,UNI_v2,10ec06c83d59,central-tuned,adam,0.0001,3,torch.float16,0.9707078925956062,0.9707078925956062,0.9707078925956062,0,0,0.0,0.0
central,UNI_v2,2eecdd3d0981,central-tuned,adam,0.001,1,torch.float16,0.9698942229454841,0.9698942229454841,0.9698942229454841,0,0,0.0,0.0
central,UNI_v2,36f6c45d8c7d,central-legacy,adam,0.0003,0,torch.float16,0.9715215622457283,0.9715215622457283,0.9715215622457283,0,0,0.0,0.0
central,UNI_v2,3c10d1f31399,central-tuned,sgd,0.003,0,torch.float16,0.967453213995118,0.967453213995118,0.967453213995118,0,0,0.0,0.0
central,UNI_v2,3cf33349dd19,central-tuned,adam,0.001,4,torch.float16,0.9650122050447518,0.9650122050447518,0.9650122050447518,0,0,0.0,0.0
central,UNI_v2,3e498950e9e7,central-legacy,adam,0.0003,1,torch.float16,0.9739625711960944,0.9739625711960944,0.9739625711960944,0,0,0.0,0.0
central,UNI_v2,3e9d40a55794,central-tuned,adam,0.001,2,torch.float16,0.9641985353946297,0.9641985353946297,0.9641985353946297,0,0,0.0,0.0
central,UNI_v2,3ec02afdaee5,central-tuned,sgd,0.01,2,torch.float16,0.9698942229454841,0.9698942229454841,0.9698942229454841,0,0,0.0,0.0
central,UNI_v2,3f35ab9c617b,central-tuned,adam,0.0001,2,torch.float16,0.9666395443449959,0.9666395443449959,0.9666395443449959,0,0,0.0,0.0
central,UNI_v2,44aa99da8df1,central-legacy,adam,0.0003,4,torch.float16,0.9666395443449959,0.9666395443449959,0.9666395443449959,0,0,0.0,0.0
central,UNI_v2,487799338813,central-tuned,adam,0.0003,4,torch.float16,0.9641985353946297,0.9641985353946297,0.9641985353946297,0,0,0.0,0.0
central,UNI_v2,49090863d659,central-tuned,sgd,0.01,0,torch.float16,0.967453213995118,0.967453213995118,0.967453213995118,0,0,0.0,0.0
central,UNI_v2,4d7e754340c5,central-tuned,sgd,0.003,2,torch.float16,0.967453213995118,0.967453213995118,0.967453213995118,0,0,0.0,0.0
central,UNI_v2,4fde7b177dd2,central-tuned,sgd,0.03,4,torch.float16,0.9625711960943857,0.9625711960943857,0.9625711960943857,0,0,0.0,0.0
central,UNI_v2,56f1121fa95e,central-tuned,sgd,0.01,3,torch.float16,0.9690805532953621,0.9690805532953621,0.9690805532953621,0,0,0.0,0.0
central,UNI_v2,607ad3dd464e,central-tuned,sgd,0.1,0,torch.float16,0.5052888527257934,0.5061025223759154,0.5061025223759154,0,2,0.0,0.08136696501219731
central,UNI_v2,6506748c2e34,central-tuned,sgd,0.01,4,torch.float16,0.9731489015459723,0.9731489015459723,0.9731489015459723,0,0,0.0,0.0
