setting,fm,BRCA,COAD,STAD,LGG,LUAD,HNSC,SKCM,CESC,PAAD,BRCA_sd,COAD_sd,STAD_sd,LGG_sd,LUAD_sd,HNSC_sd,SKCM_sd,CESC_sd,PAAD_sd
SCAFFOLD-sgd,Virchow2,0.9843930635838151,0.8105263157894737,0.5389312977099237,1.0,0.99,0.9020833333333333,0.9636363636363636,0.916,0.975609756097561,0.0015830131719802632,0.06801498938589517,0.11521408210519635,0.0,0.0037267799624996854,0.013975424859373685,0.031491832864888686,0.03577708763999662,0.0
SCAFFOLD-sgd,Phikon_v2,0.9907514450867051,0.8368421052631578,0.7068702290076336,1.0,1.0,0.9645833333333333,0.9818181818181818,0.952,0.975609756097561,0.0012925248424854392,0.013418472404191537,0.017573838829345535,0.0,0.0,0.00570544330734546,0.0,0.026832815729997468,0.0
SCAFFOLD-sgd,Conch_v15,0.9751445086705204,0.8936842105263156,0.49770992366412214,1.0,0.9916666666666668,0.9020833333333333,0.9636363636363635,0.82,0.902439024390244,0.003295304696818348,0.027700415509348982,0.05697132261693216,0.0,1.2412670766236366e-16,0.03653266232656289,0.0406557814090871,0.061644140029689765,0.0298718261315022
SCAFFOLD-sgd,CTransPath,0.9705202312138729,0.7768421052631579,0.5358778625954199,0.991,0.9816666666666667,0.84375,0.8327272727272728,0.6,0.9024390243902438,0.004286819934737368,0.03619736602957768,0.054085464378376656,0.006519202405202654,0.014907119849998597,0.05103103630798288,0.029875775863918107,0.09055385138137416,0.08623253429104237
SCAFFOLD-sgd,Midnight12k,0.9809248554913295,0.791578947368421,0.27022900763358776,1.0,0.9916666666666668,0.8708333333333333,0.9236363636363636,0.9120000000000001,0.878048780487805,0.002585049684970823,0.015163010832513616,0.0368473843851822,0.0,1.2412670766236366e-16,0.009316949906249091,0.015212000482437742,0.010954451150103333,0.0298718261315022
SCAFFOLD-sgd,ResNet50,0.9687861271676299,0.39263157894736844,0.1282442748091603,0.851,0.5266666666666666,0.46875,0.1418181818181818,0.132,0.08780487804878048,0.02489578666746589,0.3587567019459507,0.120383397781401,0.26889589063427505,0.48158447972407825,0.42873157556784747,0.13009850050907867,0.12132600710482482,0.0999702513752156
central-tuned,UNI_v2,0.9890173410404625,0.9694736842105265,0.850381679389313,1.0,0.9916666666666668,0.9541666666666668,0.9709090909090909,0.9800000000000001,0.9609756097560975,0.006900194442955671,0.010786263964168031,0.029858942313905266,0.0,1.2412670766236366e-16,0.018922814713109304,0.03302891295379083,1.2412670766236366e-16,0.013359086768418698
central-tuned,Virchow2,0.9838150289017342,0.9410526315789474,0.8824427480916031,1.0,0.99,0.94375,0.989090909090909,0.9800000000000001,0.9707317073170731,0.004383164996561586,0.018756347032847814,0.017573838829345528,0.0,0.003726779962499686,0.01187682734478268,0.009958591954639388,1.2412670766236366e-16,0.01090764867073069
central-tuned,Phikon_v2,0.9907514450867053,0.9757894736842105,0.8122137404580153,1.0,1.0,0.9666666666666668,0.9781818181818182,0.9640000000000001,0.9853658536585366,0.006265746644126783,0.006000923289995443,0.013867100858461818,0.0,0.0,0.0046584749531245456,0.00813115628181742,0.021908902300206663,0.013359086768418698
central-tuned,Conch_v15,0.9780346820809249,0.9199999999999999,0.7526717557251908,0.998,0.9916666666666668,0.91875,0.9563636363636363,0.924,0.9658536585365853,0.0043831649965616,0.007806524723258583,0.0102415327213731,0.002738612787525833,1.2412670766236366e-16,0.03159531435021478,0.009958591954639388,0.05549774770204643,0.013359086768418698
central-tuned,CTransPath,0.9786127167630058,0.9157894736842106,0.8183206106870229,1.0,0.9966666666666667,0.9208333333333334,0.9199999999999999,0.9800000000000001,0.9170731707317072,0.0032953046968183138,0.009846466807299831,0.04592857696638574,0.0,0.007453559924999322,0.02282177322938194,0.009958591954639388,1.2412670766236366e-16,0.05057668622762858
central-tuned,Midnight12k,0.9861271676300578,0.9431578947368422,0.7893129770992366,1.0,0.9833333333333332,0.93125,0.9672727272727274,0.952,0.9463414634146341,0.004749039515940753,0.013105157471567078,0.019905961542603504,0.0,0.010206207261596585,0.015797657175107414,0.00813115628181742,0.017888543819998333,0.03180098734245192
central-tuned,ResNet50,0.9578034682080924,0.8736842105263157,0.6977099236641221,0.9789999999999999,0.96,0.9229166666666666,0.8727272727272727,0.96,0.8926829268292684,0.007808818546882264,0.013418472404191537,0.027310753923661543,0.0022360679774997916,0.017078251276599316,0.03939098000247717,0.031491832864888686,0.024494897427831758,0.021815297341461384
