grid,fm,key,kind,algorithm,optimizer,lr,mu,k,sampling,partition,ft,arch,legacy_drop_last,protocol,seed,best_val,acc,bacc,f1,macro,train_macro,rounds,best_round,acc_json,bacc_json,f1_json,n_changed_predictions,acc_shift_pp,recall_LUAD,recall_PAAD
mu,UNI_v2,3ba348b0016f,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,2,0.9333333373069763,0.9015459723352319,0.8600568640304673,0.8765291343810065,0.884440417255223,0.884440417255223,393.0,343,0.9015459723352319,0.8600568640304673,0.8765291343810065,0,0.0,0.9916666666666667,0.5121951219512195
mu,UNI_v2,3baad64fabc2,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,0,0.9311111569404602,0.9023596419853539,0.8861261127577046,0.8941194031441694,0.9056573896793605,0.9056573896793605,370.0,320,0.9023596419853539,0.8861261127577046,0.8941194031441694,0,0.0,0.9916666666666667,0.7804878048780488
mu,UNI_v2,520b3aecbe19,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,3,0.9422222375869751,0.9218877135882831,0.9114800811494508,0.9084677825642137,0.923135488314616,0.923135488314616,490.0,440,0.9218877135882831,0.9114800811494508,0.9084677825642137,0,0.0,0.9916666666666667,0.8292682926829268
mu,UNI_v2,727f68e9f20a,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,4,0.893333375453949,0.8673718470301057,0.7855749625437815,0.7763074984509419,0.8335121274127669,0.8335121274127669,264.0,214,0.8673718470301057,0.7855749625437815,0.7763074984509419,0,0.0,0.9916666666666667,0.0
mu,UNI_v2,7a3309eac3f2,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,3,0.8355555534362793,0.807160292921074,0.676982676030779,0.6847797584754333,0.7555629503305352,0.7555629503305352,208.0,158,0.807160292921074,0.676982676030779,0.6847797584754333,0,0.0,0.9916666666666667,0.17073170731707318
mu,UNI_v2,7e64c173035b,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,3,0.9222222566604614,0.8958502847843776,0.849296409477925,0.8622452754471861,0.8723288311950388,0.8723288311950388,363.0,313,0.8958502847843776,0.849296409477925,0.8622452754471861,0,0.0,0.9916666666666667,0.4634146341463415
mu,UNI_v2,821a93b6364d,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,1,0.8133333325386047,0.8030919446704637,0.7211721466924447,0.6967659191958977,0.7581298359356237,0.7581298359356237,120.0,70,0.8030919446704637,0.7211721466924447,0.6967659191958977,0,0.0,0.975,0.0
mu,UNI_v2,8bb70da03ebb,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,2,0.9244444370269775,0.9145646867371847,0.8941851288539601,0.8995169459470547,0.9141159727485355,0.9141159727485355,302.0,252,0.9145646867371847,0.8941851288539601,0.8995169459470547,0,0.0,0.9916666666666667,0.7073170731707317
mu,UNI_v2,ccbc73c54a7a,fl,FedProx,adam,0.0003,0.1,20,stratified,project_tss,raw,mlp,False,,0,0.9222222566604614,0.8885272579332791,0.8622656310600079,0.8769193267267175,0.8697920579417546,0.8697920579417546,354.0,304,0.8885272579332791,0.8622656310600079,0.8769193267267175,0,0.0,0.9916666666666667,0.7073170731707317
mu,UNI_v2,d666d11548b5,fl,FedProx,adam,0.0003,0.001,20,stratified,project_tss,raw,mlp,False,,4,0.8911111354827881,0.8616761594792515,0.7805072847572389,0.7700904237058442,0.8247045226427091,0.8247045226427091,264.0,214,0.8616761594792515,0.7805072847572389,0.7700904237058442,0,0.0,0.9916666666666667,0.0
mu,UNI_v2,ea5f6acc2fbe,fl,FedProx,adam,0.0003,1.0,20,stratified,project_tss,raw,mlp,False,,4,0.902222216129303,0.870626525630594,0.8238419892148192,0.8216241861056269,0.8590798158743722,0.8590798158743722,247.0,197,0.870626525630594,0.8238419892148192,0.8216241861056269,0,0.0,0.9916666666666667,0.34146341463414637
