diff,lo,hi,lo_pat,hi_pat,seed_diff_mean,seed_diff_sd,seed_t_lo,seed_t_hi,n_seed_pairs,fm,optimizer,algorithm
-0.22082994304312453,-0.2606371857806475,-0.17893312301708209,-0.24699190085950049,-0.1952211046206354,-0.22082994304312448,0.04851272867164162,-0.2810664516893294,-0.16059343439691956,5.0,Midnight12k,adam_sel,SCAFFOLD
-0.0016273393002441128,-0.06265936172844597,0.05927210689420955,-0.010072459273109586,0.006942193811233585,-0.0016273393002441017,0.0579678954186125,-0.07360398809317616,0.07034930949268796,5.0,ResNet50,adam_sel,SCAFFOLD
-0.23262815296989423,-0.26216679333372483,-0.20456886309756836,,,,,,,,MEAN_PATHOLOGY,adam_sel,SCAFFOLD
-0.39088689991863307,-0.45823135928097314,-0.32469753463405227,-0.4226245074843285,-0.36018710830070233,-0.39088689991863307,0.07625434828985037,-0.48556917889663104,-0.2962046209406351,5.0,UNI_v2,adam_sel,FedBN
-0.4960130187144019,-0.5614493210938993,-0.42991974129031485,-0.5263424803982832,-0.46528293650379987,-0.49601301871440195,0.07761188714759766,-0.5923809048182274,-0.3996451326105765,5.0,Virchow2,adam_sel,FedBN
-0.45337672904800647,-0.505176108209455,-0.3980977618862125,-0.4881588460918613,-0.42087186806792964,-0.4533767290480066,0.040566960881252515,-0.5037472638907983,-0.4030061942052149,5.0,Phikon_v2,adam_sel,FedBN
-0.44768104149715215,-0.49230477223804014,-0.40128440811367755,-0.48316600153516387,-0.4127375179417013,-0.44768104149715227,0.022952119486788457,-0.4761798619463685,-0.419182221047936,5.0,Conch_v15,adam_sel,FedBN
-0.24393816110659078,-0.35790461488303216,-0.14240056472914073,-0.2722314799615854,-0.21575238773176705,-0.24393816110659067,0.17427675671682813,-0.46033133564559214,-0.027544986567589164,5.0,CTransPath,adam_sel,FedBN
-0.46476810414971526,-0.5817214087631726,-0.3641472691697872,-0.5008136693885424,-0.4307054292488122,-0.46476810414971526,0.12735866566900253,-0.6229047741701854,-0.3066314341292451,5.0,Midnight12k,adam_sel,FedBN
0.1358828315703824,0.06786435519004363,0.20719391885256544,0.1083938286736522,0.16404188968520358,0.13588283157038245,0.07705412922214297,0.04020749340230691,0.231558169738458,5.0,ResNet50,adam_sel,FedBN
