cancer,fm,mode,lr,val,c
COAD,Midnight12k,central_strat,0.0003,0.6994011976047905,0.42971830985915493
COAD,Midnight12k,central_strat,0.001,0.7101796407185629,0.42802816901408447
COAD,Midnight12k,fl,0.0001,0.6610778443113773,0.4952112676056338
COAD,Midnight12k,fl,0.0003,0.665868263473054,0.4887323943661972
COAD,Midnight12k,fl,0.001,0.6826347305389222,0.47563380281690143
COAD,Midnight12k,fl_legacy_restore,0.0003,-1.0,0.5497183098591549
COAD,Phikon_v2,central,0.0001,0.8287425149700599,0.5461971830985916
COAD,Phikon_v2,central,0.0003,0.8275449101796408,0.547605633802817
COAD,Phikon_v2,central,0.001,0.8299401197604791,0.5429577464788732
COAD,Phikon_v2,central_legacy,0.0003,-1.0,0.5283098591549296
COAD,Phikon_v2,central_strat,0.0001,0.8538922155688622,0.4376056338028169
COAD,Phikon_v2,central_strat,0.0003,0.8526946107784431,0.4408450704225352
COAD,Phikon_v2,central_strat,0.001,0.8610778443113773,0.4528169014084507
COAD,Phikon_v2,fl,0.0001,0.8922155688622755,0.4950704225352113
COAD,Phikon_v2,fl,0.0003,0.8886227544910179,0.49633802816901407
COAD,Phikon_v2,fl,0.001,0.8826347305389222,0.4946478873239437
COAD,Phikon_v2,fl_legacy_restore,0.0003,-1.0,0.5252112676056339
COAD,ResNet50,central,0.0001,0.6550898203592814,0.5623943661971831
COAD,ResNet50,central,0.0003,0.8155688622754491,0.5119718309859155
COAD,ResNet50,central,0.001,0.8455089820359282,0.502112676056338
COAD,ResNet50,central_legacy,0.0003,-1.0,0.5207042253521126
COAD,ResNet50,central_strat,0.0001,0.5652694610778444,0.5647887323943662
COAD,ResNet50,central_strat,0.0003,0.5508982035928144,0.5505633802816902
COAD,ResNet50,central_strat,0.001,0.6718562874251497,0.49352112676056337
COAD,ResNet50,fl,0.0001,0.5676646706586826,0.5652112676056338
COAD,ResNet50,fl,0.0003,0.5772455089820359,0.5554929577464789
COAD,ResNet50,fl,0.001,0.5664670658682635,0.5249295774647887
COAD,ResNet50,fl_legacy_restore,0.0003,-1.0,0.5535211267605634
COAD,UNI_v2,central,0.0001,0.8131736526946108,0.546056338028169
COAD,UNI_v2,central,0.0003,0.8287425149700599,0.5423943661971831
COAD,UNI_v2,central,0.001,0.8347305389221557,0.5419718309859155
COAD,UNI_v2,central_legacy,0.0003,-1.0,0.5742253521126761
COAD,UNI_v2,central_strat,0.0001,0.7508982035928143,0.42845070422535214
COAD,UNI_v2,central_strat,0.0003,0.7520958083832335,0.4267605633802817
COAD,UNI_v2,central_strat,0.001,0.7580838323353294,0.42788732394366197
COAD,UNI_v2,fl,0.0001,0.7485029940119761,0.47281690140845073
COAD,UNI_v2,fl,0.0003,0.7844311377245509,0.4847887323943662
COAD,UNI_v2,fl,0.001,0.7844311377245509,0.4830985915492958
